id,type,timestamp,price
1354,console,1692831600000,922405
1354,console,1692918000000,873488
1354,console,1693004400000,770125
1354,console,1693090800000,818114
1354,console,1693177200000,855400
1354,console,1693263600000,904378
1354,console,1693350000000,885976
1354,console,1693436400000,861524
1354,console,1693522800000,853974
1354,console,1693609200000,864395
1354,console,1693695600000,907857
1354,console,1693782000000,952705
1354,console,1693868400000,969615
1354,console,1693954800000,973977
1354,console,1694041200000,989548
1354,console,1694127600000,993950
1354,console,1694214000000,939356
1354,console,1694300400000,948070
1354,console,1694386800000,1019195
1354,console,1694473200000,1047455
1354,console,1694559600000,1301250
1354,console,1694646000000,1486915
1354,console,1694732400000,1542488
1354,console,1694818800000,1136825
1354,console,1694905200000,1277324
1354,console,1694991600000,1318974
1354,console,1695078000000,1482200
1354,console,1695164400000,1617650
1354,console,1695250800000,1617650
22699,pc,1692918000000,1373100
22699,pc,1693004400000,887737
22699,pc,1693090800000,791594
22699,pc,1693177200000,662259
22699,pc,1693263600000,710738
22699,pc,1693350000000,649818
22699,pc,1693436400000,593788
22699,pc,1693522800000,619462
22699,pc,1693609200000,644575
22699,pc,1693695600000,517443
22699,pc,1693782000000,550000
22699,pc,1693868400000,536841
22699,pc,1693954800000,547667
22699,pc,1694041200000,564356
22699,pc,1694127600000,502794
22699,pc,1694214000000,328048
22699,pc,1694300400000,295917
22699,pc,1694386800000,300545
22699,pc,1694473200000,279873
22699,pc,1694559600000,323099
22699,pc,1694646000000,334516
22699,pc,1694732400000,366123
22699,pc,1694818800000,366981
22699,pc,1694905200000,429548
22699,pc,1694991600000,421842
22699,pc,1695078000000,468592
22699,pc,1695164400000,497393
22699,pc,1695250800000,497393
22699,console,1692918000000,905622
22699,console,1693004400000,935835
22699,console,1693090800000,811895
22699,console,1693177200000,652843
22699,console,1693263600000,728717
22699,console,1693350000000,652954
22699,console,1693436400000,590659
22699,console,1693522800000,631120
22699,console,1693609200000,665679
22699,console,1693695600000,532695
22699,console,1693782000000,555827
22699,console,1693868400000,581082
22699,console,1693954800000,604025
22699,console,1694041200000,616932
22699,console,1694127600000,557103
22699,console,1694214000000,367147
22699,console,1694300400000,344390
22699,console,1694386800000,318908
22699,console,1694473200000,314976
22699,console,1694559600000,348465
22699,console,1694646000000,306621
22699,console,1694732400000,307308
22699,console,1694818800000,307228
22699,console,1694905200000,320422
22699,console,1694991600000,337342
22699,console,1695078000000,373371
22699,console,1695164400000,374214
22699,console,1695250800000,374214
22698,pc,1692918000000,513625
22698,pc,1693004400000,501000
22698,pc,1693090800000,501000
22698,pc,1693177200000,501000
22698,pc,1693263600000,294634
22698,pc,1693350000000,104089
22698,pc,1693436400000,106955
22698,pc,1693522800000,124311
22698,pc,1693609200000,165613
22698,pc,1693695600000,188561
22698,pc,1693782000000,195456
22698,pc,1693868400000,212071
22698,pc,1693954800000,218426
22698,pc,1694041200000,203810
22698,pc,1694127600000,170492
22698,pc,1694214000000,76894
22698,pc,1694300400000,72625
22698,pc,1694386800000,72028
22698,pc,1694473200000,72727
22698,pc,1694559600000,89490
22698,pc,1694646000000,69454
22698,pc,1694732400000,71709
22698,pc,1694818800000,83917
22698,pc,1694905200000,91838
22698,pc,1694991600000,100208
22698,pc,1695078000000,111600
22698,pc,1695164400000,141577
22698,pc,1695250800000,141577
22698,console,1692918000000,2099000
22698,console,1693004400000,501000
22698,console,1693090800000,501000
22698,console,1693177200000,501000
22698,console,1693263600000,265846
22698,console,1693350000000,135043
22698,console,1693436400000,142236
22698,console,1693522800000,159802
22698,console,1693609200000,194545
22698,console,1693695600000,214856
22698,console,1693782000000,226537
22698,console,1693868400000,228639
22698,console,1693954800000,236677
22698,console,1694041200000,224302
22698,console,1694127600000,178472
22698,console,1694214000000,82950
22698,console,1694300400000,81636
22698,console,1694386800000,78744
22698,console,1694473200000,79995
22698,console,1694559600000,68894
22698,console,1694646000000,68280
22698,console,1694732400000,77394
22698,console,1694818800000,80906
22698,console,1694905200000,82969
22698,console,1694991600000,86406
22698,console,1695078000000,88111
22698,console,1695164400000,96265
22698,console,1695250800000,96265
22296,pc,1685055600000,7967571
22296,pc,1685142000000,5955161
22296,pc,1685228400000,5087218
22296,pc,1685314800000,5076017
22296,pc,1685401200000,5001660
22296,pc,1685487600000,4862537
22296,pc,1685574000000,4718277
22296,pc,1685660400000,4657140
22296,pc,1685746800000,4453933
22296,pc,1685833200000,4163019
22296,pc,1685919600000,3754509
22296,pc,1686006000000,3448818
22296,pc,1686092400000,3565644
22296,pc,1686178800000,3701412
22296,pc,1686265200000,3688946
22296,pc,1686351600000,3441679
22296,pc,1686438000000,3102082
22296,pc,1686524400000,2752538
22296,pc,1686610800000,2690308
22296,pc,1686697200000,2529308
22296,pc,1686783600000,2662846
22296,pc,1686870000000,2851385
22296,pc,1686956400000,2839538
22296,pc,1687042800000,2868083
22296,pc,1687129200000,2778333
22296,pc,1687215600000,2896077
22296,pc,1687302000000,2950667
22296,pc,1687388400000,2961923
22296,pc,1687474800000,3005077
22296,pc,1687561200000,2844500
22296,pc,1687647600000,2864083
22296,pc,1687734000000,2812833
22296,pc,1687820400000,2869333
22296,pc,1687906800000,2983250
22296,pc,1687993200000,2868308
22296,pc,1688079600000,2844231
22296,pc,1688166000000,2733333
22296,pc,1688252400000,2472917
22296,pc,1688338800000,2262250
22296,pc,1688425200000,2164083
22296,pc,1688511600000,2215917
22296,pc,1688598000000,2247333
22296,pc,1688684400000,2340583
22296,pc,1688770800000,2409500
22296,pc,1688857200000,2376727
22296,pc,1688943600000,2270667
22296,pc,1689030000000,2248727
22296,pc,1689116400000,2279167
22296,pc,1689202800000,2306727
22296,pc,1689289200000,2219000
22296,pc,1689375600000,2209636
