name,href
David Ginola,https://www.futwiz.com/en/fifa23/player/david-ginola/22675
Daley Blind,https://www.futwiz.com/en/fifa23/player/daley-blind/22728
Sergio Busquets,https://www.futwiz.com/en/fifa23/player/sergio-busquets/22703
Thiago,https://www.futwiz.com/en/fifa23/player/thiago/22692
Robert Lewandowski,https://www.futwiz.com/en/fifa23/player/robert-lewandowski/22394
Robert Lewandowski,https://www.futwiz.com/en/fifa23/player/robert-lewandowski/22257
Marco Reus,https://www.futwiz.com/en/fifa23/player/marco-reus/22607
Alexis Sanchez,https://www.futwiz.com/en/fifa23/player/alexis-sanchez/22720
Angel Di Maria,https://www.futwiz.com/en/fifa23/player/angel-di-maria/22594
Toni Kroos,https://www.futwiz.com/en/fifa23/player/toni-kroos/22389
Luka Modric,https://www.futwiz.com/en/fifa23/player/luka-modric/22260
Kevin-Prince Boateng,https://www.futwiz.com/en/fifa23/player/kevin-prince-boateng/22700
Karim Benzema,https://www.futwiz.com/en/fifa23/player/karim-benzema/19447
Karim Benzema,https://www.futwiz.com/en/fifa23/player/karim-benzema/22262
Xabi Alonso,https://www.futwiz.com/en/fifa23/player/xabi-alonso/22665
Ronaldo Nazario,https://www.futwiz.com/en/fifa23/player/ronaldo-nazario/21684
Yaya Toure,https://www.futwiz.com/en/fifa23/player/yaya-toure/22609
Ivan Cordoba,https://www.futwiz.com/en/fifa23/player/ivan-cordoba/22702
Casillas,https://www.futwiz.com/en/fifa23/player/casillas/22715
Zinedine Zidane,https://www.futwiz.com/en/fifa23/player/zinedine-zidane/21638
Roberto Carlos,https://www.futwiz.com/en/fifa23/player/roberto-carlos/22610
Joe Cole,https://www.futwiz.com/en/fifa23/player/joe-cole/22642
Wlodzimierz Smolarek,https://www.futwiz.com/en/fifa23/player/wlodzimierz-smolarek/22704
Harry Kewell,https://www.futwiz.com/en/fifa23/player/harry-kewell/22621
Samuel Eto'o,https://www.futwiz.com/en/fifa23/player/samuel-etoo/22468
Samuel Eto'o,https://www.futwiz.com/en/fifa23/player/samuel-etoo/22469
Ronald Araujo,https://www.futwiz.com/en/fifa23/player/ronald-araujo/22678
Ansu Fati,https://www.futwiz.com/en/fifa23/player/ansu-fati/22645
Rayan Cherki,https://www.futwiz.com/en/fifa23/player/rayan-cherki/22643
Gabriel Martinelli,https://www.futwiz.com/en/fifa23/player/gabriel-martinelli/22557
Khvicha Kvaratskhelia,https://www.futwiz.com/en/fifa23/player/khvicha-kvaratskhelia/22338
Khvicha Kvaratskhelia,https://www.futwiz.com/en/fifa23/player/khvicha-kvaratskhelia/22397
Brenden Aaronson,https://www.futwiz.com/en/fifa23/player/brenden-aaronson/22737
Ryan Gravenberch,https://www.futwiz.com/en/fifa23/player/ryan-gravenberch/22656
Maxence Lacroix,https://www.futwiz.com/en/fifa23/player/maxence-lacroix/22691
Rodrygo,https://www.futwiz.com/en/fifa23/player/rodrygo/22614
Joao Felix,https://www.futwiz.com/en/fifa23/player/joao-felix/22497
Aurelien Tchouameni,https://www.futwiz.com/en/fifa23/player/aurelien-tchouameni/22558
Jules Kounde,https://www.futwiz.com/en/fifa23/player/jules-kounde/22632
Ruben Dias,https://www.futwiz.com/en/fifa23/player/ruben-dias/21801
Jonathan Clauss,https://www.futwiz.com/en/fifa23/player/jonathan-clauss/22655
Erling Haaland,https://www.futwiz.com/en/fifa23/player/erling-haaland/19497
Federico Chiesa,https://www.futwiz.com/en/fifa23/player/federico-chiesa/22677
Matthijs de Ligt,https://www.futwiz.com/en/fifa23/player/matthijs-de-ligt/22222
Jadon Sancho,https://www.futwiz.com/en/fifa23/player/jadon-sancho/22631
Tammy Abraham,https://www.futwiz.com/en/fifa23/player/tammy-abraham/22622
Franck Yannick Kessie,https://www.futwiz.com/en/fifa23/player/franck-yannick-kessie/22612
Frenkie de Jong,https://www.futwiz.com/en/fifa23/player/frenkie-de-jong/22470
Joe Gomez,https://www.futwiz.com/en/fifa23/player/joe-gomez/22595
Diogo Jota,https://www.futwiz.com/en/fifa23/player/diogo-jota/22589
Leroy Sane,https://www.futwiz.com/en/fifa23/player/leroy-sane/22709
N'Golo Kante,https://www.futwiz.com/en/fifa23/player/ngolo-kante/22489
Ayoze Perez,https://www.futwiz.com/en/fifa23/player/ayoze-perez/22738
Donald Love,https://www.futwiz.com/en/fifa23/player/donald-love/22716
Ruben Loftus-Cheek,https://www.futwiz.com/en/fifa23/player/ruben-loftus-cheek/22734
Thomas Lemar,https://www.futwiz.com/en/fifa23/player/thomas-lemar/22633
Joshua Kimmich,https://www.futwiz.com/en/fifa23/player/joshua-kimmich/22224
Timo Werner,https://www.futwiz.com/en/fifa23/player/timo-werner/22522
Leon Goretzka,https://www.futwiz.com/en/fifa23/player/leon-goretzka/22556
Mohamed Salah,https://www.futwiz.com/en/fifa23/player/mohamed-salah/21802
Fred,https://www.futwiz.com/en/fifa23/player/fred/22707
Hakan Calhanoglu,https://www.futwiz.com/en/fifa23/player/hakan-calhanoglu/22524
Jack Grealish,https://www.futwiz.com/en/fifa23/player/jack-grealish/22705
Antonio Rudiger,https://www.futwiz.com/en/fifa23/player/antonio-rudiger/22436
Carvajal,https://www.futwiz.com/en/fifa23/player/carvajal/22630
Virgil van Dijk,https://www.futwiz.com/en/fifa23/player/virgil-van-dijk/19460
Memphis Depay,https://www.futwiz.com/en/fifa23/player/memphis-depay/22437
Kalidou Koulibaly,https://www.futwiz.com/en/fifa23/player/kalidou-koulibaly/22623
Heung Min Son,https://www.futwiz.com/en/fifa23/player/heung-min-son/22596
Oriol Romeu,https://www.futwiz.com/en/fifa23/player/oriol-romeu/22739
Isco,https://www.futwiz.com/en/fifa23/player/isco/22680
Antoine Griezmann,https://www.futwiz.com/en/fifa23/player/antoine-griezmann/22611
Alexandre Lacazette,https://www.futwiz.com/en/fifa23/player/alexandre-lacazette/22679
Henrikh Mkhitaryan,https://www.futwiz.com/en/fifa23/player/henrikh-mkhitaryan/22613
Thibaut Courtois,https://www.futwiz.com/en/fifa23/player/thibaut-courtois/19463
Neymar Jr,https://www.futwiz.com/en/fifa23/player/neymar-jr/22298
Pele,https://www.futwiz.com/en/fifa23/player/pele/19094
Coutinho,https://www.futwiz.com/en/fifa23/player/coutinho/22657
Azpilicueta,https://www.futwiz.com/en/fifa23/player/azpilicueta/22742
Marko Arnautovic,https://www.futwiz.com/en/fifa23/player/marko-arnautovic/22721
Edinson Cavani,https://www.futwiz.com/en/fifa23/player/edinson-cavani/22523
Luka Modric,https://www.futwiz.com/en/fifa23/player/luka-modric/19458
Hugo Lloris,https://www.futwiz.com/en/fifa23/player/hugo-lloris/22496
Antonio Di Natale,https://www.futwiz.com/en/fifa23/player/antonio-di-natale/22654
Ronaldo Nazario,https://www.futwiz.com/en/fifa23/player/ronaldo-nazario/1352
